Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation
excellent,male,general,no,one,seba,ahsec,english,excellent,excellent,doctor,others
excellent,male,obc,wa,two,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
excellent,male,obc,no,two,others,cbse,english,good,excellent,business,house_wife
excellent,male,general,wa,one,seba,ahsec,others,excellent,excellent,school_teacher,school_teacher
excellent,male,general,oa,two,none,cbse,english,excellent,excellent,college_teacher,house_wife
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife
excellent,female,general,oa,1-2 hours,cbse,cbse,english,good,excellent,doctor,doctor
excellent,male,obc,no,one,seba,ahsec,english,excellent,excellent,others,house_wife
excellent,female,general,no,one,seba,ahsec,english,excellent,excellent,business,house_wife
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife
excellent,male,general,no,one,cbse,cbse,english,average,excellent,business,house_wife
excellent,male,general,no,one,cbse,cbse,english,excellent,excellent,doctor,doctor
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,bank_official,school_teacher
excellent,male,general,no,two,seba,ahsec,english,excellent,excellent,business,house_wife
excellent,male,general,wa,one,seba,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,no,one,cbse,cbse,english,excellent,excellent,others,college_teacher
excellent,female,general,oa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,wa,1-2 hours,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
excellent,male,general,oa,one,seba,cbse,english,excellent,excellent,business,school_teacher
excellent,female,obc,no,one,seba,ahsec,assamese,excellent,excellent,college_teacher,college_teacher
excellent,male,general,no,one,seba,ahsec,others,vg,vg,bank_official,school_teacher
excellent,male,general,wa,one,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher
excellent,male,general,no,one,others,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,oa,less than 1 hour,cbse,cbse,english,excellent,excellent,business,house_wife
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,others
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,college_teacher,college_teacher
excellent,male,general,oa,two,others,others,english,excellent,vg,doctor,others
excellent,female,general,wa,two,seba,ahsec,english,excellent,vg,others,college_teacher
excellent,female,general,no,two,seba,ahsec,none,good,vg,school_teacher,house_wife
excellent,female,general,no,one,cbse,cbse,english,average,excellent,college_teacher,school_teacher
excellent,male,general,no,two,seba,ahsec,english,average,excellent,engineer,house_wife
excellent,female,general,no,two,seba,ahsec,english,excellent,excellent,others,house_wife
excellent,male,general,wa,two,seba,ahsec,assamese,excellent,excellent,others,house_wife
excellent,male,obc,no,one,cbse,cbse,english,excellent,excellent,business,others
excellent,female,general,oa,two,cbse,ahsec,english,excellent,excellent,business,house_wife
excellent,male,general,oa,two,cbse,cbse,english,excellent,excellent,doctor,college_teacher
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife
excellent,male,general,no,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,wa,less than 1 hour,cbse,cbse,english,good,vg,engineer,house_wife
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,doctor,college_teacher
excellent,male,general,wa,less than 1 hour,seba,ahsec,others,good,good,school_teacher,school_teacher
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife
none,female,general,oa,one,others,cbse,english,excellent,excellent,business,house_wife
excellent,male,sc,no,two,cbse,cbse,english,good,excellent,others,house_wife
excellent,male,sc,wa,two,seba,ahsec,others,excellent,vg,others,house_wife
excellent,female,general,no,two,cbse,none,english,excellent,excellent,college_teacher,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others
excellent,male,general,wa,less than 1 hour,cbse,cbse,english,good,excellent,doctor,doctor
excellent,male,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
none,male,obc,wa,1-2 hours,seba,cbse,english,excellent,excellent,engineer,house_wife
excellent,female,general,wa,three,seba,ahsec,others,vg,vg,others,house_wife
excellent,female,general,wa,two,others,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,sc,no,two,seba,ahsec,english,good,good,business,house_wife
excellent,male,general,no,three,seba,ahsec,assamese,good,good,college_teacher,house_wife
excellent,male,general,no,less than 1 hour,cbse,cbse,english,excellent,good,bank_official,house_wife
excellent,male,general,oa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife
excellent,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,business,house_wife
excellent,male,general,wa,two,seba,ahsec,others,excellent,excellent,others,house_wife
excellent,male,general,no,two,cbse,cbse,english,average,excellent,doctor,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,wa,two,none,ahsec,english,excellent,excellent,engineer,college_teacher
excellent,female,general,no,two,cbse,cbse,english,average,excellent,others,others
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,engineer,house_wife
excellent,male,obc,wa,1-2 hours,seba,ahsec,assamese,average,average,business,others
excellent,male,none,no,two,cbse,ahsec,english,excellent,excellent,others,house_wife
excellent,male,obc,no,one,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,female,general,no,two,cbse,cbse,english,good,excellent,others,house_wife
excellent,male,obc,wa,1-2 hours,seba,ahsec,others,average,good,others,house_wife
excellent,male,general,wa,one,others,others,english,excellent,good,others,others
excellent,male,obc,no,two,others,others,others,good,vg,business,house_wife
excellent,male,general,wa,three,seba,ahsec,assamese,vg,good,others,school_teacher
excellent,male,general,oa,two,cbse,cbse,english,excellent,vg,school_teacher,school_teacher
excellent,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,college_teacher
excellent,female,general,no,three,seba,ahsec,others,average,excellent,school_teacher,house_wife
excellent,male,general,no,two,cbse,cbse,english,good,excellent,others,house_wife
excellent,female,general,no,two,cbse,cbse,english,good,excellent,doctor,others
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,others,school_teacher
excellent,female,general,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
excellent,male,general,no,one,seba,cbse,english,good,excellent,doctor,house_wife
excellent,male,general,oa,less than 1 hour,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,wa,one,others,cbse,english,excellent,excellent,doctor,house_wife
excellent,female,obc,wa,two,seba,cbse,english,excellent,excellent,school_teacher,house_wife
excellent,male,general,no,one,seba,ahsec,others,average,good,others,house_wife
excellent,male,obc,wa,less than 1 hour,seba,ahsec,english,excellent,excellent,others,house_wife
excellent,female,obc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,female,general,wa,one,none,cbse,english,excellent,excellent,others,school_teacher
excellent,male,general,oa,two,seba,cbse,english,excellent,excellent,engineer,house_wife
excellent,male,general,no,two,seba,ahsec,others,good,excellent,cultivator,house_wife
excellent,male,general,oa,two,seba,cbse,english,excellent,excellent,business,house_wife
excellent,male,general,wa,three,seba,cbse,english,vg,good,others,others
excellent,female,general,wa,two,seba,ahsec,assamese,good,average,school_teacher,school_teacher
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,engineer,none
excellent,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
excellent,male,general,oa,two,seba,ahsec,english,excellent,excellent,engineer,house_wife
excellent,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,others
excellent,male,general,no,one,cbse,cbse,english,vg,vg,others,house_wife
excellent,female,obc,wa,one,seba,ahsec,english,excellent,excellent,others,college_teacher
excellent,female,general,wa,two,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher
vg,female,general,no,two,seba,cbse,english,good,excellent,doctor,doctor
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,bank_official,bank_official
vg,male,general,wa,none,cbse,cbse,english,excellent,vg,bank_official,house_wife
vg,male,general,no,one,others,cbse,english,excellent,excellent,others,college_teacher
vg,female,general,wa,one,cbse,cbse,english,vg,vg,business,house_wife
vg,male,general,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
vg,male,general,wa,1-2 hours,seba,ahsec,others,vg,excellent,business,house_wife
vg,female,general,wa,less than 1 hour,seba,ahsec,english,good,excellent,others,house_wife
vg,male,general,no,1-2 hours,seba,cbse,english,good,good,others,house_wife
vg,male,general,wa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife
vg,female,general,wa,one,cbse,cbse,english,,excellent,others,school_teacher
vg,male,general,wa,four,cbse,cbse,english,vg,vg,college_teacher,college_teacher
vg,male,general,wa,three,seba,ahsec,english,excellent,excellent,business,house_wife
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher
vg,female,obc,wa,three,seba,ahsec,english,vg,vg,engineer,house_wife
vg,male,general,wa,three,cbse,cbse,english,excellent,excellent,others,house_wife
vg,male,general,no,two,seba,ahsec,english,average,excellent,school_teacher,house_wife
vg,male,general,wa,three,seba,ahsec,others,excellent,good,school_teacher,house_wife
vg,male,general,no,one,cbse,cbse,english,average,excellent,college_teacher,house_wife
vg,female,obc,wa,two,others,cbse,english,excellent,excellent,engineer,house_wife
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,school_teacher
vg,female,general,wa,two,seba,ahsec,english,good,vg,college_teacher,house_wife
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,doctor,house_wife
vg,female,obc,oa,two,cbse,cbse,english,excellent,excellent,business,business
vg,male,obc,wa,two,seba,ahsec,others,excellent,excellent,others,others
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,college_teacher,none
vg,male,general,no,three,seba,ahsec,others,vg,vg,cultivator,house_wife
vg,female,obc,wa,three,cbse,ahsec,english,excellent,vg,school_teacher,house_wife
vg,male,general,no,two,seba,ahsec,others,average,vg,business,house_wife
vg,none,general,no,less than 1 hour,seba,ahsec,english,good,excellent,doctor,doctor
vg,male,sc,wa,1-2 hours,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,general,no,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,no,two,none,ahsec,assamese,good,excellent,school_teacher,house_wife
vg,male,general,wa,less than 1 hour,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
vg,male,general,no,one,cbse,cbse,english,excellent,excellent,others,school_teacher
vg,female,obc,no,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,wa,two,cbse,ahsec,english,excellent,excellent,others,house_wife
vg,male,general,wa,two,seba,ahsec,english,excellent,vg,business,house_wife
vg,male,obc,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,male,obc,no,one,cbse,cbse,english,excellent,excellent,others,college_teacher
vg,male,obc,wa,one,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
vg,female,general,wa,1-2 hours,seba,ahsec,english,average,excellent,others,college_teacher
vg,male,obc,no,one,cbse,cbse,english,excellent,excellent,business,house_wife
vg,male,general,wa,three,cbse,cbse,english,vg,vg,others,house_wife
vg,male,general,wa,less than 1 hour,cbse,cbse,english,excellent,excellent,school_teacher,house_wife
vg,female,general,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,college_teacher,college_teacher
vg,male,general,wa,three,cbse,cbse,english,vg,good,school_teacher,house_wife
vg,female,general,no,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,oa,three,cbse,cbse,english,excellent,good,others,house_wife
vg,male,general,wa,two,seba,none,assamese,excellent,vg,college_teacher,school_teacher
vg,female,general,wa,one,others,cbse,english,excellent,excellent,doctor,doctor
vg,male,general,oa,one,others,others,english,vg,excellent,college_teacher,school_teacher
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,doctor,others
vg,female,obc,oa,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,engineer,house_wife
vg,female,sc,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
vg,none,general,wa,two,seba,cbse,english,good,good,school_teacher,house_wife
vg,male,general,no,one,seba,ahsec,english,average,excellent,others,house_wife
vg,male,obc,no,two,seba,ahsec,english,average,excellent,others,house_wife
vg,male,general,wa,less than 1 hour,seba,ahsec,english,excellent,vg,business,school_teacher
vg,female,general,wa,two,seba,ahsec,others,excellent,good,others,school_teacher
vg,male,sc,no,one,seba,ahsec,english,excellent,excellent,business,school_teacher
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,general,no,three,seba,ahsec,english,excellent,vg,others,house_wife
vg,male,obc,no,one,cbse,ahsec,english,excellent,excellent,school_teacher,house_wife
vg,male,general,oa,two,cbse,cbse,english,excellent,excellent,others,school_teacher
vg,male,obc,wa,two,seba,ahsec,others,excellent,vg,business,house_wife
vg,male,general,no,1-2 hours,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
vg,male,general,no,one,cbse,ahsec,english,excellent,excellent,engineer,house_wife
vg,male,sc,wa,two,cbse,cbse,english,excellent,vg,school_teacher,house_wife
vg,male,obc,wa,three,seba,ahsec,english,excellent,excellent,school_teacher,house_wife
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,college_teacher
vg,male,general,oa,two,cbse,cbse,english,excellent,excellent,business,house_wife
vg,female,general,wa,two,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
vg,female,general,wa,1-2 hours,cbse,cbse,english,excellent,excellent,engineer,house_wife
vg,female,obc,wa,two,seba,ahsec,english,vg,vg,college_teacher,house_wife
vg,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,others,house_wife
vg,female,general,wa,one,seba,ahsec,english,excellent,excellent,business,house_wife
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,cultivator,house_wife
vg,female,obc,wa,two,cbse,cbse,english,excellent,excellent,others,others
vg,none,general,wa,two,cbse,cbse,english,excellent,excellent,doctor,doctor
vg,female,general,wa,three,seba,ahsec,others,vg,vg,others,house_wife
vg,female,obc,oa,three,seba,ahsec,english,good,vg,others,house_wife
vg,female,general,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,male,obc,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
vg,male,obc,no,four,seba,ahsec,others,vg,vg,business,house_wife
vg,male,obc,wa,one,cbse,cbse,english,excellent,excellent,doctor,house_wife
vg,female,general,wa,two,seba,ahsec,others,none,excellent,school_teacher,house_wife
vg,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,school_teacher
vg,female,general,wa,two,seba,ahsec,english,excellent,vg,business,school_teacher
vg,male,obc,oa,two,seba,cbse,english,vg,excellent,business,house_wife
vg,female,general,no,two,seba,ahsec,english,good,vg,others,house_wife
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,others
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,others,others
vg,male,general,no,one,seba,ahsec,english,excellent,excellent,engineer,school_teacher
vg,female,obc,wa,three,seba,ahsec,english,excellent,excellent,school_teacher,others
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,wa,two,seba,cbse,english,excellent,excellent,business,house_wife
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,house_wife
vg,male,general,no,one,cbse,cbse,english,good,excellent,business,house_wife
vg,male,general,no,one,seba,ahsec,english,average,excellent,doctor,house_wife
vg,male,general,wa,1-2 hours,cbse,cbse,english,excellent,excellent,others,others
vg,female,general,no,two,seba,ahsec,english,average,vg,others,house_wife
vg,female,obc,wa,less than 1 hour,cbse,cbse,english,excellent,excellent,others,others
vg,male,general,no,two,cbse,cbse,english,good,excellent,others,house_wife
vg,female,sc,oa,two,seba,cbse,english,excellent,vg,others,bank_official
vg,male,general,no,two,cbse,cbse,english,average,excellent,bank_official,house_wife
vg,female,general,wa,four,cbse,cbse,english,excellent,vg,bank_official,bank_official
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,business,others
vg,female,st,no,two,seba,ahsec,english,average,excellent,others,house_wife
vg,female,general,wa,one,seba,ahsec,english,excellent,excellent,bank_official,house_wife
vg,male,general,wa,less than 1 hour,seba,ahsec,others,vg,vg,others,house_wife
none,female,general,oa,two,cbse,cbse,english,excellent,excellent,others,school_teacher
vg,male,obc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
vg,male,general,wa,two,seba,ahsec,others,excellent,vg,school_teacher,house_wife
vg,female,general,wa,two,seba,none,english,excellent,excellent,others,college_teacher
vg,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,male,general,no,one,seba,ahsec,english,excellent,excellent,business,house_wife
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
vg,male,obc,no,one,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher
vg,female,general,wa,three,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher
vg,female,sc,wa,two,seba,ahsec,assamese,excellent,vg,others,others
vg,male,obc,wa,three,seba,ahsec,others,vg,vg,cultivator,cultivator
vg,male,general,wa,two,seba,ahsec,others,excellent,excellent,others,house_wife
vg,male,obc,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
vg,female,general,wa,less than 1 hour,seba,ahsec,english,excellent,excellent,others,house_wife
vg,male,obc,wa,three,seba,ahsec,others,vg,excellent,school_teacher,school_teacher
vg,male,obc,wa,two,seba,ahsec,others,excellent,excellent,cultivator,school_teacher
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,business,business
vg,male,general,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife
vg,male,general,wa,three,seba,ahsec,assamese,good,good,none,house_wife
vg,female,sc,wa,two,seba,ahsec,english,excellent,excellent,bank_official,school_teacher
vg,male,st,no,two,seba,ahsec,english,average,average,others,house_wife
vg,female,general,wa,three,seba,cbse,english,excellent,excellent,business,house_wife
vg,female,general,no,less than 1 hour,seba,ahsec,english,vg,excellent,doctor,school_teacher
vg,female,sc,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,female,general,no,one,seba,none,english,excellent,excellent,engineer,engineer
vg,male,obc,wa,none,cbse,cbse,english,excellent,vg,others,others
vg,male,obc,no,less than 1 hour,cbse,cbse,english,excellent,vg,others,house_wife
vg,female,general,wa,less than 1 hour,seba,ahsec,english,average,excellent,others,house_wife
vg,female,obc,oa,one,cbse,cbse,english,excellent,none,others,house_wife
vg,female,obc,wa,one,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
vg,male,obc,no,one,cbse,cbse,english,excellent,excellent,doctor,others
vg,female,general,no,one,seba,ahsec,english,excellent,excellent,engineer,college_teacher
vg,male,obc,wa,three,seba,ahsec,english,vg,vg,others,house_wife
vg,female,general,no,one,seba,ahsec,others,average,excellent,doctor,doctor
vg,male,obc,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
vg,female,obc,no,three,cbse,cbse,english,excellent,excellent,doctor,house_wife
vg,female,general,no,two,seba,ahsec,english,average,vg,business,house_wife
vg,male,general,no,two,seba,ahsec,assamese,good,vg,others,house_wife
vg,male,general,wa,two,seba,ahsec,english,good,good,business,house_wife
vg,female,sc,no,two,cbse,cbse,english,excellent,excellent,engineer,others
vg,female,sc,no,one,cbse,cbse,english,none,excellent,bank_official,house_wife
vg,male,general,no,two,seba,ahsec,others,average,vg,others,house_wife
vg,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher
vg,female,obc,no,two,seba,ahsec,english,excellent,excellent,others,house_wife
vg,male,obc,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
vg,female,obc,wa,two,seba,ahsec,english,vg,excellent,others,house_wife
vg,male,general,no,one,cbse,ahsec,english,excellent,excellent,school_teacher,school_teacher
vg,female,general,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
vg,male,general,wa,two,seba,ahsec,english,excellent,vg,engineer,house_wife
vg,male,obc,oa,one,cbse,cbse,english,excellent,excellent,engineer,engineer
vg,female,general,wa,two,seba,ahsec,none,vg,vg,business,house_wife
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others
vg,female,general,no,one,cbse,cbse,english,average,excellent,doctor,doctor
vg,female,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
vg,male,obc,no,two,cbse,cbse,english,good,good,others,house_wife
vg,male,general,no,one,cbse,cbse,english,good,excellent,none,house_wife
vg,male,general,wa,three,seba,ahsec,others,excellent,vg,school_teacher,house_wife
vg,female,general,wa,two,others,ahsec,english,excellent,vg,college_teacher,house_wife
vg,male,general,wa,three,seba,ahsec,others,vg,vg,cultivator,house_wife
vg,female,general,wa,three,seba,ahsec,english,excellent,excellent,college_teacher,school_teacher
vg,female,general,wa,two,cbse,cbse,english,excellent,excellent,college_teacher,engineer
vg,male,general,wa,1-2 hours,cbse,cbse,english,excellent,vg,bank_official,house_wife
vg,male,general,oa,two,cbse,cbse,english,excellent,vg,others,house_wife
vg,male,general,wa,less than 1 hour,cbse,cbse,english,excellent,vg,others,house_wife
vg,male,general,wa,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife
vg,male,general,wa,two,cbse,cbse,english,excellent,vg,business,house_wife
vg,male,general,wa,less than 1 hour,cbse,ahsec,english,excellent,excellent,business,house_wife
vg,female,obc,wa,two,seba,ahsec,english,excellent,excellent,business,school_teacher
vg,female,obc,no,one,cbse,cbse,english,vg,good,business,school_teacher
vg,female,general,no,two,cbse,cbse,english,good,vg,others,school_teacher
vg,male,general,wa,two,seba,ahsec,others,excellent,vg,others,house_wife
vg,male,sc,wa,one,seba,ahsec,english,vg,excellent,others,house_wife
vg,,sc,wa,one,others,ahsec,english,excellent,excellent,engineer,house_wife
vg,male,general,wa,none,seba,ahsec,english,vg,excellent,engineer,house_wife
vg,female,obc,no,one,cbse,ahsec,english,excellent,excellent,others,house_wife
vg,male,general,wa,one,seba,ahsec,english,vg,excellent,others,house_wife
good,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
good,female,general,no,three,seba,ahsec,assamese,good,vg,school_teacher,house_wife
good,male,sc,none,two,seba,cbse,others,vg,good,others,house_wife
good,male,general,no,less than 1 hour,seba,ahsec,others,excellent,,school_teacher,school_teacher
good,male,general,wa,three,seba,ahsec,assamese,vg,vg,school_teacher,school_teacher
good,female,general,no,one,cbse,cbse,english,excellent,excellent,others,house_wife
good,male,general,no,two,seba,ahsec,others,excellent,none,others,house_wife
good,male,sc,oa,two,cbse,cbse,english,excellent,excellent,others,others
good,female,obc,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
good,female,general,wa,one,others,cbse,english,excellent,excellent,engineer,doctor
good,male,obc,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
good,male,general,no,two,seba,ahsec,others,good,good,school_teacher,house_wife
good,male,obc,no,two,cbse,cbse,english,average,excellent,school_teacher,house_wife
good,female,general,wa,two,seba,cbse,english,excellent,vg,bank_official,house_wife
good,male,general,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher
good,female,obc,none,two,seba,ahsec,english,excellent,excellent,others,school_teacher
good,female,general,wa,three,cbse,cbse,english,excellent,vg,business,house_wife
good,male,obc,oa,four,seba,others,english,vg,none,college_teacher,house_wife
good,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
good,male,general,oa,two,seba,cbse,english,excellent,excellent,,house_wife
good,female,general,wa,two,seba,cbse,english,excellent,excellent,bank_official,house_wife
good,female,general,wa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
good,female,general,wa,less than 1 hour,cbse,cbse,english,excellent,excellent,business,house_wife
good,male,general,wa,three,seba,ahsec,english,good,vg,business,house_wife
good,none,obc,wa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife
good,male,general,no,two,seba,ahsec,english,excellent,excellent,engineer,college_teacher
good,male,general,no,two,cbse,cbse,english,excellent,vg,school_teacher,house_wife
good,male,general,no,one,seba,ahsec,english,vg,vg,others,house_wife
good,female,general,wa,two,seba,cbse,english,good,vg,business,house_wife
good,male,general,no,one,cbse,cbse,english,excellent,excellent,others,house_wife
good,male,sc,wa,three,cbse,cbse,english,excellent,excellent,others,house_wife
