Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation
good,male,general,oa,one,cbse,cbse,english,excellent,excellent,engineer,house_wife
good,female,general,wa,1-2 hours,seba,ahsec,english,good,excellent,bank_official,others
good,female,general,wa,less than 1 hour,cbse,cbse,english,average,excellent,college_teacher,school_teacher
good,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher
good,male,general,wa,three,seba,ahsec,others,vg,vg,school_teacher,school_teacher
good,female,obc,no,one,seba,ahsec,english,good,vg,others,house_wife
good,female,general,no,two,cbse,cbse,english,average,vg,engineer,house_wife
good,male,obc,no,two,seba,ahsec,english,good,good,others,others
good,female,general,none,two,seba,cbse,english,excellent,good,others,house_wife
good,male,general,wa,two,seba,cbse,english,excellent,vg,others,house_wife
good,female,obc,oa,1-2 hours,cbse,cbse,english,average,vg,business,house_wife
good,female,general,no,one,seba,ahsec,english,excellent,excellent,doctor,doctor
good,female,general,no,one,seba,ahsec,english,excellent,excellent,engineer,house_wife
good,male,general,no,one,cbse,ahsec,english,excellent,excellent,others,school_teacher
good,male,general,no,two,seba,ahsec,assamese,good,vg,others,house_wife
good,male,obc,oa,two,cbse,cbse,english,vg,vg,doctor,house_wife
good,male,general,wa,three,seba,ahsec,english,excellent,excellent,others,house_wife
good,male,obc,no,five,seba,ahsec,others,good,average,school_teacher,house_wife
good,male,general,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
good,male,obc,oa,two,cbse,cbse,english,excellent,excellent,business,others
good,male,obc,no,1-2 hours,cbse,cbse,english,average,excellent,others,house_wife
good,female,obc,wa,seven,cbse,cbse,english,excellent,good,others,house_wife
good,male,sc,wa,two,seba,ahsec,english,excellent,excellent,doctor,house_wife
good,female,sc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
good,female,obc,wa,one,seba,ahsec,english,vg,excellent,doctor,house_wife
good,female,obc,no,one,seba,ahsec,others,average,excellent,business,house_wife
good,male,general,wa,two,cbse,cbse,english,excellent,vg,others,others
good,female,obc,wa,three,seba,ahsec,english,excellent,excellent,others,others
good,male,obc,wa,two,seba,ahsec,assamese,excellent,vg,school_teacher,house_wife
good,female,general,wa,two,seba,ahsec,english,excellent,excellent,doctor,house_wife
good,female,general,oa,one,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher
good,female,general,no,one,seba,ahsec,english,average,excellent,school_teacher,school_teacher
good,female,obc,no,two,seba,ahsec,english,excellent,vg,business,house_wife
good,female,general,no,one,cbse,cbse,english,excellent,excellent,doctor,house_wife
good,male,general,wa,three,seba,ahsec,others,vg,good,school_teacher,house_wife
good,female,obc,wa,two,cbse,cbse,english,excellent,excellent,school_teacher,others
good,male,general,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
good,male,general,no,one,cbse,cbse,english,average,vg,others,house_wife
good,female,obc,wa,one,cbse,cbse,english,excellent,excellent,others,others
good,male,general,wa,less than 1 hour,cbse,cbse,english,excellent,excellent,business,house_wife
good,male,general,wa,one,seba,ahsec,english,none,excellent,doctor,house_wife
none,male,general,wa,one,seba,ahsec,english,excellent,excellent,school_teacher,house_wife
good,female,obc,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
good,female,obc,wa,one,cbse,cbse,english,excellent,excellent,others,others
good,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,school_teacher
good,female,obc,wa,three,seba,ahsec,others,good,good,business,house_wife
good,male,general,wa,two,cbse,none,english,excellent,excellent,others,house_wife
good,female,obc,wa,four,seba,ahsec,english,vg,good,business,house_wife
good,female,obc,oa,two,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
good,female,obc,wa,two,cbse,cbse,english,excellent,excellent,doctor,others
good,male,general,wa,less than 1 hour,seba,ahsec,others,good,excellent,others,school_teacher
good,male,general,wa,two,seba,ahsec,others,excellent,vg,others,others
good,female,general,no,one,seba,ahsec,english,good,excellent,school_teacher,school_teacher
good,female,obc,no,one,seba,ahsec,english,excellent,none,others,house_wife
good,male,general,wa,one,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
good,male,obc,oa,two,seba,ahsec,english,excellent,excellent,doctor,house_wife
good,male,obc,no,three,seba,ahsec,english,excellent,vg,others,house_wife
good,female,general,wa,three,seba,ahsec,assamese,excellent,vg,doctor,others
good,female,general,wa,one,seba,cbse,english,excellent,excellent,business,house_wife
good,male,general,no,one,seba,ahsec,others,excellent,excellent,cultivator,house_wife
good,female,general,wa,two,cbse,cbse,english,excellent,excellent,doctor,others
good,male,general,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
good,female,general,no,two,cbse,cbse,english,excellent,vg,others,house_wife
good,male,general,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
good,female,sc,no,three,seba,ahsec,english,excellent,excellent,business,house_wife
good,female,general,no,two,seba,ahsec,english,good,excellent,others,others
good,female,general,no,one,cbse,cbse,english,good,good,business,house_wife
good,male,general,wa,two,seba,ahsec,english,vg,vg,school_teacher,school_teacher
good,male,general,no,one,seba,ahsec,others,good,excellent,school_teacher,house_wife
good,male,obc,no,two,cbse,cbse,english,good,excellent,others,house_wife
good,male,general,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
good,male,general,no,two,seba,ahsec,others,good,good,school_teacher,house_wife
good,female,obc,wa,one,seba,ahsec,assamese,excellent,excellent,others,school_teacher
good,male,sc,no,one,cbse,cbse,english,excellent,excellent,business,house_wife
good,male,general,wa,two,seba,ahsec,english,vg,vg,business,house_wife
good,male,obc,wa,two,cbse,cbse,english,vg,good,business,house_wife
good,male,general,no,two,seba,ahsec,english,vg,vg,others,house_wife
good,male,general,wa,two,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher
good,male,general,wa,two,seba,ahsec,others,vg,vg,school_teacher,house_wife
good,female,st,wa,one,seba,ahsec,others,excellent,excellent,school_teacher,school_teacher
good,female,general,no,one,seba,ahsec,english,excellent,excellent,others,school_teacher
good,female,obc,no,one,seba,ahsec,english,excellent,excellent,others,others
good,male,sc,no,three,cbse,cbse,english,good,vg,others,house_wife
good,male,obc,wa,two,seba,ahsec,assamese,excellent,vg,others,house_wife
good,female,obc,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
good,male,general,oa,two,cbse,cbse,english,excellent,excellent,others,school_teacher
good,male,general,no,two,cbse,cbse,english,excellent,excellent,others,house_wife
good,male,general,wa,two,cbse,cbse,english,excellent,vg,business,house_wife
good,male,sc,wa,two,cbse,cbse,english,excellent,excellent,cultivator,house_wife
good,male,general,oa,one,cbse,cbse,english,excellent,excellent,doctor,school_teacher
good,male,general,no,one,cbse,cbse,english,excellent,excellent,doctor,house_wife
good,male,general,no,two,seba,ahsec,others,vg,vg,business,house_wife
good,male,general,wa,four,seba,ahsec,others,vg,good,school_teacher,house_wife
good,female,sc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
good,male,obc,no,two,cbse,cbse,english,average,excellent,others,house_wife
good,female,general,wa,one,seba,cbse,english,excellent,excellent,business,house_wife
good,female,general,wa,two,cbse,cbse,english,excellent,vg,others,others
good,female,general,wa,two,seba,cbse,english,excellent,none,others,house_wife
good,female,obc,wa,two,none,ahsec,english,excellent,excellent,others,others
good,male,general,wa,two,cbse,cbse,english,excellent,excellent,business,others
good,female,general,no,less than 1 hour,seba,cbse,english,excellent,excellent,school_teacher,school_teacher
good,female,obc,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
good,male,general,no,one,cbse,none,english,excellent,vg,business,house_wife
good,male,general,no,one,seba,cbse,english,excellent,excellent,business,house_wife
good,female,sc,wa,one,others,cbse,english,excellent,excellent,doctor,house_wife
good,female,obc,wa,one,seba,ahsec,english,excellent,excellent,doctor,house_wife
good,female,general,no,1-2 hours,seba,cbse,english,good,vg,business,house_wife
good,female,obc,wa,two,seba,ahsec,english,excellent,none,doctor,school_teacher
good,male,general,wa,three,cbse,cbse,english,vg,good,others,house_wife
good,female,general,no,one,seba,ahsec,english,excellent,excellent,others,school_teacher
good,male,general,wa,three,seba,ahsec,others,vg,vg,cultivator,house_wife
good,male,obc,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher
good,female,general,wa,one,others,cbse,english,excellent,excellent,business,house_wife
good,male,general,wa,three,seba,ahsec,others,vg,vg,school_teacher,house_wife
good,female,general,no,three,cbse,cbse,english,average,good,business,others
good,female,general,wa,two,cbse,cbse,english,excellent,excellent,business,school_teacher
good,male,general,oa,less than 1 hour,cbse,cbse,english,excellent,vg,school_teacher,house_wife
good,female,st,no,one,seba,ahsec,others,excellent,excellent,others,house_wife
good,female,obc,oa,one,others,cbse,english,excellent,excellent,business,house_wife
good,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,others
good,male,general,wa,two,seba,ahsec,assamese,excellent,excellent,doctor,school_teacher
good,female,general,wa,less than 1 hour,cbse,cbse,english,excellent,excellent,others,house_wife
good,female,sc,no,one,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
good,female,general,wa,less than 1 hour,seba,ahsec,others,excellent,excellent,others,house_wife
good,male,general,wa,three,seba,ahsec,english,excellent,vg,school_teacher,none
good,male,obc,no,two,seba,ahsec,english,good,vg,others,others
good,male,general,wa,two,seba,ahsec,others,vg,excellent,school_teacher,house_wife
good,male,general,wa,less than 1 hour,cbse,cbse,english,good,good,school_teacher,house_wife
good,male,sc,wa,two,seba,ahsec,assamese,excellent,vg,school_teacher,house_wife
good,male,general,wa,two,seba,ahsec,others,good,vg,school_teacher,others
good,male,general,no,one,seba,ahsec,none,excellent,excellent,school_teacher,house_wife
good,female,general,wa,one,seba,ahsec,english,excellent,excellent,business,house_wife
good,male,general,no,two,cbse,cbse,english,average,excellent,cultivator,house_wife
good,male,general,oa,one,cbse,cbse,english,excellent,excellent,none,none
good,male,general,wa,two,seba,ahsec,others,vg,excellent,others,school_teacher
good,male,general,wa,two,cbse,ahsec,english,excellent,excellent,school_teacher,school_teacher
good,female,obc,no,one,cbse,cbse,none,excellent,vg,others,others
good,female,obc,wa,two,seba,ahsec,assamese,excellent,excellent,doctor,house_wife
good,male,general,no,one,cbse,cbse,english,excellent,excellent,others,others
good,male,sc,wa,one,seba,ahsec,others,excellent,excellent,others,house_wife
good,male,general,wa,two,seba,ahsec,others,vg,vg,others,house_wife
good,male,general,wa,one,cbse,cbse,english,excellent,excellent,others,house_wife
good,male,obc,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
good,female,general,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
good,male,obc,no,two,seba,ahsec,others,average,good,others,house_wife
good,male,general,none,one,none,cbse,english,excellent,excellent,others,house_wife
good,female,obc,wa,two,seba,ahsec,english,vg,vg,doctor,house_wife
good,male,general,no,one,cbse,cbse,english,good,excellent,others,house_wife
good,male,obc,wa,three,seba,ahsec,assamese,good,average,others,house_wife
good,male,obc,wa,three,cbse,cbse,english,excellent,vg,others,school_teacher
good,male,obc,wa,two,cbse,cbse,english,excellent,excellent,business,house_wife
good,male,obc,no,three,cbse,ahsec,assamese,vg,good,school_teacher,house_wife
good,female,obc,wa,two,seba,cbse,english,excellent,vg,others,others
good,male,obc,no,one,seba,cbse,english,excellent,excellent,business,house_wife
good,female,obc,wa,four,seba,ahsec,assamese,excellent,vg,business,others
good,female,obc,wa,1-2 hours,seba,ahsec,english,good,vg,business,house_wife
good,female,obc,wa,three,seba,ahsec,english,excellent,vg,others,house_wife
good,female,obc,wa,two,seba,ahsec,assamese,excellent,excellent,cultivator,school_teacher
good,female,obc,wa,less than 1 hour,seba,ahsec,assamese,excellent,vg,others,school_teacher
good,male,obc,wa,one,seba,ahsec,english,excellent,good,school_teacher,school_teacher
good,male,obc,no,one,seba,ahsec,english,excellent,excellent,doctor,others
good,male,obc,wa,three,cbse,cbse,english,good,excellent,others,house_wife
good,female,obc,wa,one,seba,ahsec,english,excellent,excellent,others,school_teacher
good,female,obc,no,one,seba,ahsec,english,good,excellent,school_teacher,house_wife
good,female,obc,no,two,seba,ahsec,english,good,excellent,others,house_wife
good,female,obc,no,two,seba,ahsec,english,good,excellent,doctor,house_wife
good,female,obc,wa,two,cbse,cbse,english,excellent,excellent,doctor,house_wife
good,female,obc,wa,one,seba,ahsec,english,vg,excellent,business,house_wife
good,male,obc,wa,three,cbse,cbse,english,excellent,vg,business,house_wife
average,female,obc,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,house_wife
average,male,obc,wa,two,seba,ahsec,english,excellent,excellent,business,house_wife
average,female,obc,wa,one,seba,cbse,english,excellent,excellent,others,house_wife
average,male,obc,wa,two,seba,ahsec,english,vg,good,others,house_wife
average,female,obc,wa,two,seba,ahsec,assamese,excellent,excellent,doctor,house_wife
average,male,obc,wa,one,none,cbse,english,excellent,excellent,others,school_teacher
average,female,obc,none,three,seba,ahsec,assamese,excellent,vg,school_teacher,house_wife
average,male,obc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
average,female,obc,no,one,seba,ahsec,english,excellent,excellent,business,house_wife
average,male,obc,wa,three,seba,ahsec,assamese,vg,good,business,house_wife
average,male,obc,oa,two,cbse,cbse,english,excellent,excellent,doctor,others
average,female,obc,wa,two,seba,ahsec,assamese,excellent,excellent,others,house_wife
average,male,obc,wa,two,seba,ahsec,english,vg,vg,others,others
average,female,obc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
average,female,obc,no,two,seba,ahsec,assamese,vg,good,others,house_wife
average,male,obc,no,two,cbse,cbse,none,excellent,excellent,school_teacher,house_wife
average,female,obc,wa,one,cbse,none,english,excellent,excellent,others,house_wife
average,male,obc,wa,two,seba,ahsec,english,excellent,vg,business,house_wife
average,male,obc,no,two,seba,ahsec,english,vg,vg,others,house_wife
average,male,obc,no,one,seba,cbse,english,average,vg,business,house_wife
average,male,obc,no,three,cbse,cbse,english,average,good,others,others
average,male,obc,no,four,seba,ahsec,others,vg,average,school_teacher,house_wife
none,female,obc,no,1-2 hours,seba,ahsec,english,excellent,excellent,others,school_teacher
average,male,obc,wa,two,seba,ahsec,assamese,excellent,vg,others,house_wife
average,male,obc,no,two,seba,ahsec,assamese,excellent,excellent,business,school_teacher
good,female,sc,wa,three,cbse,cbse,english,excellent,excellent,others,house_wife
good,male,sc,no,three,seba,ahsec,english,average,good,school_teacher,house_wife
good,female,sc,wa,two,seba,ahsec,english,excellent,vg,business,house_wife
good,female,sc,no,two,seba,ahsec,others,average,excellent,engineer,house_wife
good,female,sc,oa,two,seba,none,english,excellent,vg,others,house_wife
good,female,sc,wa,three,seba,ahsec,english,vg,vg,others,house_wife
good,male,sc,wa,less than 1 hour,cbse,cbse,english,excellent,excellent,cultivator,house_wife
average,female,sc,no,two,cbse,cbse,english,excellent,excellent,engineer,house_wife
average,female,sc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
average,female,sc,wa,three,seba,ahsec,english,excellent,excellent,business,house_wife
average,none,sc,wa,one,seba,ahsec,assamese,good,good,others,house_wife
average,female,sc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
average,female,sc,wa,three,seba,ahsec,assamese,good,good,school_teacher,house_wife
average,female,sc,wa,one,seba,cbse,english,excellent,excellent,business,house_wife
average,female,sc,wa,three,cbse,cbse,english,vg,vg,bank_official,others
average,female,sc,no,1-2 hours,seba,ahsec,assamese,average,excellent,others,house_wife
average,female,sc,none,two,seba,ahsec,assamese,average,good,business,house_wife
average,male,sc,no,one,none,cbse,english,excellent,excellent,others,house_wife
average,female,sc,no,two,cbse,cbse,english,excellent,excellent,others,others
average,female,sc,wa,two,seba,ahsec,english,excellent,vg,business,house_wife
average,male,sc,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
average,male,sc,wa,less than 1 hour,seba,ahsec,assamese,vg,vg,cultivator,house_wife
average,male,sc,wa,two,cbse,cbse,english,,none,school_teacher,others
average,male,sc,wa,two,seba,ahsec,english,excellent,excellent,business,school_teacher
average,female,sc,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
average,male,sc,no,one,seba,cbse,english,excellent,excellent,business,house_wife
average,female,sc,wa,two,seba,ahsec,others,excellent,vg,school_teacher,house_wife
average,male,sc,no,one,seba,ahsec,english,excellent,excellent,others,others
average,male,sc,no,two,seba,ahsec,english,vg,vg,others,house_wife
average,female,sc,no,two,seba,cbse,english,vg,vg,doctor,school_teacher
average,female,sc,wa,three,seba,ahsec,others,good,good,school_teacher,others
average,female,sc,wa,two,seba,cbse,english,vg,excellent,others,house_wife
average,female,sc,wa,two,seba,ahsec,english,excellent,vg,others,others
average,male,sc,no,two,seba,ahsec,english,good,vg,others,school_teacher
average,male,sc,no,two,none,ahsec,assamese,good,vg,school_teacher,house_wife
average,female,sc,wa,one,cbse,cbse,english,excellent,excellent,engineer,house_wife
average,male,sc,no,one,seba,ahsec,english,excellent,excellent,business,house_wife
average,male,none,wa,two,seba,ahsec,assamese,excellent,excellent,engineer,house_wife
good,male,st,wa,two,seba,ahsec,assamese,excellent,excellent,school_teacher,school_teacher
good,female,st,wa,two,cbse,cbse,english,excellent,vg,business,house_wife
good,female,st,wa,two,seba,ahsec,english,vg,vg,bank_official,house_wife
average,none,st,wa,two,none,cbse,english,vg,vg,business,house_wife
average,male,st,oa,two,cbse,cbse,english,excellent,excellent,others,school_teacher
average,male,st,no,one,cbse,cbse,english,excellent,excellent,school_teacher,school_teacher
average,male,st,no,three,seba,ahsec,english,vg,vg,school_teacher,school_teacher
average,male,st,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
average,female,st,wa,one,cbse,cbse,english,excellent,vg,others,school_teacher
average,female,st,wa,two,seba,cbse,english,none,excellent,doctor,college_teacher
average,female,st,wa,one,seba,ahsec,english,excellent,excellent,others,house_wife
average,female,st,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
average,male,st,wa,one,seba,ahsec,english,good,good,engineer,school_teacher
average,male,st,wa,one,seba,cbse,english,excellent,excellent,others,house_wife
average,female,st,wa,two,seba,ahsec,english,excellent,vg,school_teacher,house_wife
average,male,st,no,one,cbse,cbse,english,good,excellent,cultivator,house_wife
average,female,st,wa,two,seba,ahsec,english,vg,vg,bank_official,house_wife
average,male,st,wa,two,cbse,cbse,english,excellent,vg,cultivator,house_wife
average,female,st,wa,three,cbse,cbse,english,excellent,good,engineer,business
average,male,st,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
average,,st,oa,two,cbse,cbse,english,excellent,vg,business,school_teacher
average,female,st,wa,two,seba,ahsec,english,vg,vg,doctor,house_wife
average,female,st,wa,two,cbse,cbse,english,vg,vg,others,house_wife
average,female,st,wa,less than 1 hour,seba,ahsec,english,excellent,excellent,school_teacher,house_wife
average,male,st,wa,two,cbse,cbse,english,excellent,good,others,house_wife
average,female,st,wa,two,others,others,english,excellent,excellent,doctor,college_teacher
average,female,st,wa,two,seba,ahsec,assamese,excellent,vg,others,others
average,male,st,oa,one,cbse,cbse,english,excellent,excellent,others,house_wife
average,female,st,no,two,cbse,cbse,english,excellent,excellent,bank_official,house_wife
average,male,st,wa,two,seba,ahsec,assamese,excellent,vg,bank_official,house_wife
average,female,st,wa,one,seba,ahsec,others,average,vg,others,house_wife
average,male,st,no,one,seba,ahsec,english,excellent,excellent,others,others
average,female,st,wa,two,cbse,cbse,english,excellent,good,engineer,house_wife
average,male,st,no,two,cbse,cbse,english,average,excellent,cultivator,house_wife
average,male,st,wa,less than 1 hour,seba,ahsec,assamese,excellent,excellent,cultivator,house_wife
average,female,st,wa,three,seba,ahsec,english,vg,average,others,house_wife
average,male,st,no,two,cbse,cbse,english,average,good,cultivator,house_wife
average,male,st,wa,one,seba,ahsec,english,average,good,others,house_wife
average,female,st,oa,two,cbse,cbse,english,excellent,vg,others,house_wife
average,female,st,wa,three,cbse,cbse,english,excellent,vg,bank_official,house_wife
average,female,st,wa,two,seba,none,assamese,excellent,excellent,school_teacher,school_teacher
average,male,st,oa,three,cbse,cbse,english,vg,excellent,others,house_wife
average,female,st,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
average,female,st,wa,two,seba,ahsec,english,excellent,vg,college_teacher,house_wife
average,female,st,no,two,seba,,english,average,good,school_teacher,house_wife
average,male,st,no,two,cbse,cbse,english,average,vg,school_teacher,house_wife
average,male,st,no,one,seba,ahsec,english,average,average,others,house_wife
average,male,st,no,three,none,cbse,english,excellent,good,others,house_wife
average,male,st,no,one,seba,ahsec,assamese,vg,good,cultivator,house_wife
average,female,st,wa,two,seba,ahsec,english,excellent,vg,others,house_wife
average,female,st,wa,two,seba,ahsec,english,vg,vg,others,house_wife
average,male,st,no,one,seba,ahsec,english,good,vg,others,house_wife
average,male,none,wa,two,seba,ahsec,english,vg,vg,school_teacher,house_wife
average,male,st,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
average,male,st,wa,two,cbse,cbse,english,excellent,vg,others,house_wife
average,male,st,wa,1-2 hours,seba,ahsec,english,excellent,good,others,house_wife
average,male,st,no,one,cbse,cbse,english,excellent,excellent,school_teacher,house_wife
average,female,st,wa,one,cbse,cbse,english,excellent,excellent,engineer,others
average,male,st,no,three,cbse,cbse,english,excellent,excellent,others,house_wife
average,female,st,wa,two,seba,ahsec,english,excellent,vg,cultivator,others
average,female,st,wa,two,cbse,cbse,english,excellent,excellent,others,house_wife
average,female,st,wa,two,cbse,cbse,english,excellent,vg,engineer,house_wife
average,female,st,wa,two,cbse,cbse,english,excellent,good,others,house_wife
average,male,st,wa,two,cbse,cbse,english,vg,vg,others,house_wife
average,male,none,oa,two,cbse,cbse,english,excellent,vg,cultivator,house_wife
average,female,st,wa,one,seba,ahsec,english,excellent,excellent,school_teacher,school_teacher
average,male,st,no,two,seba,ahsec,english,average,good,business,house_wife
average,male,st,no,one,seba,ahsec,assamese,average,average,cultivator,house_wife
average,male,st,no,1-2 hours,seba,ahsec,english,excellent,excellent,doctor,house_wife
average,male,st,no,one,cbse,cbse,english,good,excellent,school_teacher,others
average,male,st,wa,one,cbse,cbse,english,excellent,vg,engineer,house_wife
average,male,st,wa,two,seba,ahsec,english,good,good,others,house_wife
average,male,st,no,one,seba,ahsec,english,average,excellent,others,others
average,female,st,no,1-2 hours,cbse,cbse,english,good,excellent,others,doctor
average,female,st,wa,two,seba,ahsec,english,excellent,vg,others,school_teacher
average,male,st,wa,two,cbse,ahsec,english,good,good,others,school_teacher
average,female,st,wa,one,seba,ahsec,none,vg,good,engineer,house_wife
average,male,st,wa,two,seba,ahsec,english,vg,vg,others,house_wife
average,male,st,no,less than 1 hour,seba,ahsec,english,average,average,cultivator,house_wife
average,female,st,wa,two,others,others,english,vg,vg,school_teacher,house_wife
average,female,st,wa,one,seba,ahsec,english,vg,vg,others,school_teacher
average,male,st,wa,three,cbse,cbse,english,vg,vg,bank_official,house_wife
average,female,st,no,one,seba,ahsec,english,average,vg,business,doctor
average,female,st,wa,four,seba,ahsec,assamese,vg,good,cultivator,house_wife
average,male,st,no,one,seba,ahsec,english,average,good,business,others
average,male,st,wa,less than 1 hour,seba,ahsec,english,good,good,others,school_teacher
average,male,st,no,two,seba,ahsec,english,good,good,others,house_wife
average,female,st,wa,three,seba,ahsec,english,good,good,school_teacher,house_wife
average,male,st,wa,three,seba,ahsec,english,good,good,school_teacher,house_wife
average,female,st,oa,three,others,others,english,good,good,cultivator,house_wife
average,female,st,no,two,seba,ahsec,english,average,good,others,house_wife
average,female,st,no,three,seba,ahsec,english,average,average,school_teacher,house_wife
average,male,st,wa,one,cbse,cbse,english,excellent,excellent,others,school_teacher
average,female,st,wa,two,seba,ahsec,english,vg,vg,others,others
average,male,st,no,one,seba,ahsec,english,vg,vg,cultivator,none
average,female,st,wa,two,cbse,ahsec,english,excellent,good,business,house_wife
average,female,st,wa,less than 1 hour,seba,ahsec,english,excellent,vg,others,others
none,female,st,no,one,seba,ahsec,english,vg,good,business,school_teacher
average,female,st,no,two,seba,cbse,english,good,vg,doctor,school_teacher
average,female,st,wa,one,seba,ahsec,english,good,vg,others,house_wife
average,male,st,wa,three,seba,ahsec,english,vg,good,cultivator,house_wife
average,male,st,wa,two,seba,cbse,english,good,vg,others,school_teacher
average,male,st,wa,three,seba,ahsec,english,good,good,school_teacher,house_wife
average,female,st,no,one,seba,cbse,english,vg,good,business,others
good,male,obc,no,one,seba,ahsec,english,good,excellent,doctor,others
vg,male,general,wa,two,cbse,cbse,english,excellent,vg,bank_official,house_wife
good,male,general,wa,two,cbse,cbse,english,excellent,excellent,business,others
excellent,female,general,wa,two,seba,ahsec,assamese,excellent,excellent,business,house_wife
good,male,obc,oa,two,cbse,cbse,english,excellent,excellent,business,others
good,male,general,no,one,seba,ahsec,others,excellent,excellent,school_teacher,house_wife
vg,male,general,wa,two,cbse,cbse,english,excellent,vg,business,house_wife
excellent,male,general,no,two,cbse,cbse,english,excellent,good,bank_official,house_wife
average,male,obc,no,two,cbse,cbse,english,good,excellent,others,house_wife
average,female,st,no,two,seba,cbse,english,average,vg,business,house_wife
average,male,st,wa,two,seba,ahsec,english,vg,good,others,house_wife
vg,male,sc,wa,two,seba,ahsec,english,excellent,excellent,others,house_wife
excellent,male,general,wa,two,seba,ahsec,english,excellent,excellent,engineer,college_teacher
